Codelist Name	CDISC Submission Value	CDISC Synonym(s)
Non-Neoplastic Finding Type	DILATATION	"CYSTIC DILATATION; CYSTIC DILATATION, PROSTATIC ACINI; DECREASED DILATION; DILATATION, BRUNNER'S GLANDS; DILATATION, CENTRAL CANAL; DILATATION, CRYPT; DILATATION, CRYPT, PYLORUS; DILATATION, CRYPT/GLAND; DILATATION, CRYPT/GLAND EPITHELIUM; DILATATION, CRYPTS; DILATATION, CYSTIC; DILATATION, DISTAL TUBULE(S); DILATATION, DUCTAL; DILATATION, FOLLICLE; DILATATION, GLANDS; DILATATION, LACTEAL; DILATATION, LACTEALS; DILATATION, LUMEN; DILATATION, LUMINAL; DILATATION, MUCOSAL GLANDS; DILATATION, PELVIS; DILATATION, RATHKE'S POUCH; DILATATION, SINUS; DILATATION, SINUSOID; DILATATION, SINUSOIDS; DILATATION, SINUSOIDS, SUBCAPSULAR; DILATATION, TUBULE; DILATATION, TUBULE(S); DILATATION, VENTRICLES; DILATATION/HYPERTROPHY, TUBULES, FOCAL; DILATATION/INFLAMMATION, MUCOSAL GLAND; DILATED; DILATED FOLLICLES; DILATED LACTEALS; DILATED, CRYPT; DILATED, FOLLICLE; DILATED, VASCULATURE; DILATION; DILATION \ DILATATION; DILATION, ATRIUM; DILATION, CAPILLARY, GLOMERULUS; DILATION, CRYPT; DILATION, GASTRIC GLANDS; DILATION, GASTRIC PIT; DILATION, GLAND; DILATION, GLAND/LUMEN; DILATION, GLANDS; DILATION, GLANDULAR; DILATION, LACTEAL; DILATION, LYMPHATICS; DILATION, LYMPHATICS, LAMINA PROPRIA, SUBMUCOSA; DILATION, LYMPHATICS, SUBCUTANEOUS; DILATION, LYMPHATICS, SUBMUCOSA; DILATION, LYMPHATICS/LACTEALS; DILATION, OVIDUCT; DILATION, PELVIC; DILATION, PELVIS; DILATION, TUBULAR; DISTENDED GLAND/CRYPT; DISTENSION; DISTENTION; DISTENTION, LUMEN; HAIR FOLLICLE, DILATED; POLYCYSTIC DISEASE; SPONGIOSIS HEPATIS; TELANGIECTASIS; TUBULAR DILATION"
Non-Neoplastic Finding Type	"DISLOCATION, LENS"	"SEPARATION, LENS FIBERS"
Non-Neoplastic Finding Type	"DISPLACEMENT, PHOTORECEPTOR NUCLEI"	"DISPLACEMENT, INDIVIDUAL NUCLEI, PHOTORECEPTOR, CENTRAL RETINA"
Non-Neoplastic Finding Type	DYSPLASIA	"DYSPLASIA, ADNEXAL; DYSPLASIA, CARTILAGE; DYSPLASIA, EPITHELIUM; DYSPLASIA, EPITHELIUM, CRYPT; DYSPLASIA, RETINA"
Non-Neoplastic Finding Type	"DYSTROPHY, AXONAL"	"AXONAL SWELLING - LFB STAIN; SWELLING, AXONAL"
Non-Neoplastic Finding Type	ECTASIA	"DESQUAMATION/ECTASIA; ECTASIA, BILE DUCT; ECTASIA, BILIARY; ECTASIA, CRYPT/GLAND; ECTASIA, DUCT; ECTASIA, ENDOMETRIAL GLAND; ECTASIA, GLAND; ECTASIA, GLANDS; ECTASIA, LYMPHATICS; ECTASIA, SEMINIFEROUS TUBULE; ECTASIA, SINUSOID; ECTASIA, SUBMUCOSAL GLAND; ECTASIA, SUBMUCOSAL GLANDS; ECTATIC VEIN; GLANDULAR ECTASIA"
Non-Neoplastic Finding Type	ECTOPIC TISSUE	"ADIPOSE CELLS, ECTOPIC; ADRENAL CORTEX, ECTOPIC; BONE, HETEROTOPIC; CORTICAL TISSUE, EXTRACAPSULAR; ECTOPIA; ECTOPIC ADRENAL; ECTOPIC ADRENAL CORTEX; ECTOPIC ADRENOCORTICAL TISSUE; ECTOPIC HEPATOCYTES; ECTOPIC LIVER; ECTOPIC OVARIAN TISSUE, UNILATERAL; ECTOPIC PANCREAS; ECTOPIC PARATHYROID; ECTOPIC SPLEEN; ECTOPIC THYMUS; ECTOPIC THYMUS TISSUE; ECTOPIC THYROID; ECTOPIC, MUCOUS GLAND; GLAND, ECTOPIC; HYPERPLASIA; LIVER, ECTOPIC; PANCREAS, ECTOPIC; PARATHYROID, ECTOPIC; THYMUS, ECTOPIC"
Non-Neoplastic Finding Type	EDEMA	"EDEMA, ALVEOLAR; EDEMA, ASSOCIATED LOOSE CONNECTIVE TISSUE; EDEMA, DERMIS, INTERSTITIAL STRIATED MUSCLE; EDEMA, INTERLOBULAR; EDEMA, INTERSTITIAL; EDEMA, INTRACELLULAR; EDEMA, LAMINA PROPRIA, SUBMUCOSA; EDEMA, MUCOSA; EDEMA, PAPILLA; EDEMA, PERIPORTAL; EDEMA, PERIVASCULAR; EDEMA, PERIVASCULAR & PERIBRONCHIOLAR; EDEMA, PERIVASCULAR, MYXOMATOUS; EDEMA, SOFT TISSUE; EDEMA, SUBCUTIS; EDEMA, SUBENDOCARDIAL/INTERSTITIAL; EDEMA, SUB-EPITHELIAL/LACTEAL DILATATION; EDEMA, SUBMUCOSA; EDEMA, SUBPERICARDIUM; EDEMA, VILLI; EDEMA/MYXOMATOUS CHANGE, TUNICA ADVENTITIA; EDEMA/MYXOMATOUS CHANGE, TUNICA ADVENTITIA, PERIARTERIAL; SPONGIOSIS"
Non-Neoplastic Finding Type	ELASTOSIS	"FIBROELASTOSIS, SUBENDOCARDIAL"
Non-Neoplastic Finding Type	EMBOLUS	"COAGULUM; COAGULUM, SEROCELLULAR; EMBOLISM; EMBOLUS, BACTERIAL"
Non-Neoplastic Finding Type	EMPERIPOLESIS	EMPERIPOLESIS WITHIN MEGAKERYOCYTES
Non-Neoplastic Finding Type	ENDOCRINOPATHY	FEMINIZATION; VIRILIZATION
Non-Neoplastic Finding Type	END-STAGE LESION	PHTHISIS BULBI
Non-Neoplastic Finding Type	ENTEROPATHY	"ENTEROPATHY (MUCOSAL AMYLOIDOSIS); ENTEROPATHY, MUCOID; ENTEROPATHY, NECROTIZINE"
Non-Neoplastic Finding Type	EOSINOPHILIC GLOBULES	"EOSINOPHILIC GLOBULE, INTRACYTOPLASMIC; GLOBULES, CYTOPLASMIC, EOSINOPHILIC"
Non-Neoplastic Finding Type	EROSION	"EROSION(S); EROSION, CARDIA; EROSION, CORNEA; EROSION, EPITHELIUM; EROSION, EPITHELIUM, AIRWAY; EROSION, GASTROESOPHAGEAL JUNCTION; EROSION, MUCOSA; EROSION, PYLORUS"
Non-Neoplastic Finding Type	EROSION/ULCER	"EROSION/ ULCER; EROSION/ULCER, GLANDULAR MUCOSA; EROSION/ULCER, LIMITING RIDGE; EROSION/ULCER, MUCOSA; EROSION/ULCER, PREDOMINANTLY PYLORIC REGION; EROSION/ULCER, PYLORUS; EROSION/ULCER/VILLUS TIP NECROSIS; EROSION/ULCERATION; EROSION/ULCERATION (PYLORUS); ULCER/EROSION"
Non-Neoplastic Finding Type	ERYTHROPHAGOCYTOSIS	ERYTHROCYTOSIS; HEMORRHAGE/ERYTHROPHAGOCYTOSIS
Non-Neoplastic Finding Type	ESTROUS_MENSTRUAL CYCLE STAGE	"ANESTRUS; ASYNCHRONOUS; ASYNCHRONOUS CYCLE; ASYNCHRONY; DIESTRUS; DIESTRUS I; DIESTRUS II; EARLY SECRETORY PHASE; ESTRUS; ESTRUS MORPHOLOGY; ESTRUS, PERSISTENT; LATE SECRETORY PHASE; METESTRUS; METESTRUS/DIESTRUS MORPHOLOGY; PROESTRUS; PROESTRUS MORPHOLOGY; UNDETERMINATE STAGE"
Non-Neoplastic Finding Type	EXFOLIATION	"EPITHELIAL EXFOLIATION WITH SEPARATION; SLOUGHED OFF CELLS, SEMINIFEROUS TUBULES; SLOUGHING, EPITHELIAL CELLS"
Non-Neoplastic Finding Type	"EXTRACELLULAR MATRIX, INCREASED"	INCREASED EXTRACELLULAR MATRIX; INCREASED MATRIX
Non-Neoplastic Finding Type	EXTRAMEDULLARY HEMATOPOIESIS	"DECREASED EXTRAMEDULLARY HEMATOPOIESIS (EMH); EXTRAHEMATOPOIESIS, DECREASED; EXTRAMEDULLARY HEMATOPOIESIS, INCREASED; HEMATOPOIESIS, EXTRAMEDULLARY; HEMATOPOIESIS, EXTRAMEDULLARY, CHOROID PLEXUS; HEMATOPOIESIS, EXTRAMEDULLARY, DECREASED; HEMATOPOIESIS, EXTRAMEDULLARY, INCREASED; INCREASED EXTRAMEDULLARY HEMATOPOIESIS"
Non-Neoplastic Finding Type	EXUDATE	"EXUDATE, EPIDERMAL; EXUDATE, EPIDERMAL SURFACE; EXUDATE, FIBRIN; EXUDATE, FOCAL; EXUDATE, LUMEN; EXUDATE, PROTEINIC, ALVEOLI; EXUDATE, SUPERFICIAL; FIBRIN; FIBRIN MICROTHROMBI; FIBRIN, ALVEOLAR; FIBRIN, SYNOVIUM AND JOINT SPACE; FLUID/FIBRIN, ALVEOLAR; NEUTROPHILS/MUCUS, AIRWAY LUMEN"
Non-Neoplastic Finding Type	FATTY CHANGE	"LIPID; LIPID DEPLETION, ZONA FASCICULATA; LIPID GLOMERULUS; LIPID, DECREASED; LIPID, GLOMERULUS; LIPID, INCREASED, OIL RED O; LIPIDOSIS; LIPIDOSIS, TENSION"
Non-Neoplastic Finding Type	FIBROPLASIA	"ARTICULAR CARTILAGE, FIBROPLASIA; COSTALCHONDRAL CARTILAGE, FIBROPLASIA; FIBROPLASIA, DERMIS; FIBROPLASIA, JOINT SPACE; FIBROPLASIA, MUSCLE; FIBROPLASIA, SMOOTH MUSCLE; FIBROPLASIA, SUBCUTIS; FIBROPLASIA, SUBCUTIS, FOCAL; FIBROPLASIA, VALVE; INFLAMMATION/FIBROPLASIA, ADVENTITIA/MEDIASTINUM; PERICHONDRIAL FIBROPLASIA"
Non-Neoplastic Finding Type	FIBROSIS	"ADHESION/INFLAMMATION/FIBROSIS, CAPSULE; ADHESION/INFLAMMATION/FIBROSIS, PLEURAL; COLLAGEN, INCREASED; FIBROPLASIA/FIBROSIS; FIBROPLASIA/FIBROSIS, ISLET, WITH HEMORRHAGE; FIBROSIS (BASED ON MASSON TRICHROME); FIBROSIS WITH ENTRAPPED CHONDROCYTES AND BONY TRABECULAE; FIBROSIS, ARTERIOLE, TUNICA MEDIA; FIBROSIS, CAPSULE; FIBROSIS, CAPSULE, GLOMERULUS; FIBROSIS, CAPSULE/SUBCAPSULAR; FIBROSIS, CAPSULE/SUBCAPSULE; FIBROSIS, CHRONIC; FIBROSIS, DERMIS; FIBROSIS, FOCAL; FIBROSIS, FOOTPAD; FIBROSIS, GLOMERULAR CAPSULE; FIBROSIS, HAIR GRANULOMA; FIBROSIS, INSULAR/PERI-INSULAR; FIBROSIS, INTERSTITIAL; FIBROSIS, INTERSTITIAL, FOCAL; FIBROSIS, INTERSTITIUM; FIBROSIS, ISLET; FIBROSIS, ISLETS; FIBROSIS, METAPHYSIS; FIBROSIS, MUSCLE; FIBROSIS, MYOCARDIUM; FIBROSIS, MYOFIBER; FIBROSIS, NEOINTIMA; FIBROSIS, PERICARDIAL ADIPOSE TISSUE; FIBROSIS, PERIPORTAL; FIBROSIS, PERITUBULAR; FIBROSIS, PERIVASCULAR; FIBROSIS, PLEURA; FIBROSIS, PLEURAL; FIBROSIS, PLEURAL/SUBPLEURAL; FIBROSIS, POSTERIOR LENS CAPSULE; FIBROSIS, SEROSAL; FIBROSIS, SOFT TISSUE; FIBROSIS, SUBCUTANEOUS; FIBROSIS, SUBCUTIS; FIBROSIS/ PIGMENT, ISLET; FIBROSIS/ PIGMENT/ INFLAMMATION, ISLETS; FIBROSIS/ADHESION, PLEURA; FIBROSIS/FIBROPLASIA, PERIARTICULAR; FIBROSIS/GRANULATION TISSUE; FIBROSIS/INFLAMMATION; FIBROSIS/INFLAMMATION, CHRONIC, PLEURAL/SUBPLEURAL, FOCAL/MULTIFOCAL; FIBROSIS/PIGMENT, ISLET; FIBROSIS/PIGMENTATION; INFLAMMATION AND FIBROSIS; INFLAMMATION/FIBROSIS; PERIGLOMERULAR FIBROSIS, FOCAL; SCLEROSIS; SIDEROFIBROSIS; VESSEL WALL, INFLAMMATION/FIBROSIS"
Non-Neoplastic Finding Type	FIBROUS OSTEODYSTROPHY	OSTEODYSTROPHY
Non-Neoplastic Finding Type	FOCUS OF CELLULAR ALTERATION	"FOCUS OF ALTERATION; FOCUS OF CELL WITH ABUNDANT EOSINOPHILIC CYTOPLASM, STRIATIONS (INCDEVELOPMENTAL ANOMALY, CONGENITAL; FOCUS OF CELLULAR ALTERATION, BASOPHILIC; FOCUS OF CELLULAR ALTERATION, CLEAR; FOCUS OF CELLULAR ALTERATION, CLEAR CELL; FOCUS, ALTERED HEPATOCYTE; FOCUS, CELLULAR ALTERATION, AMPHOPHILIC; FOCUS, CELLULAR ALTERATION, BASOPHILIC; FOCUS, CELLULAR ALTERATION, CLEAR; FOCUS, CELLULAR ALTERATION, EOSINOPHILIC; FOCUS, CELLULAR ALTERATION, MIXED CELL"
Non-Neoplastic Finding Type	"FOLLICLES, INCREASED"	"FOLLICLES, INCREASED, TERTIARY; FOLLICLES, RETAINED; INCREASE \ INCREASED; INCREASED DEVELOPMENT; INCREASED FOLLICLES; RETAINED FOLLICLES"
Non-Neoplastic Finding Type	FOREIGN MATERIAL	"FOREIGN BODY; FOREIGN MATERIAL (SUTURES); FOREIGN MATERIAL, BIREFRINGENT; FOREIGN MATERIAL, DERMIS; FOREIGN MATERIAL, HAIR/KERATIN; FOREIGN MATERIAL, INTRA-CORNEAL; FOREIGN MATERIAL, LUMEN, VESSEL; FOREIGN MATERIAL, REFRACTILE; FOREIGN MATERIAL, SUBCUTIS"
Non-Neoplastic Finding Type	FUNGUS	FUNGI
Non-Neoplastic Finding Type	GLIOSIS	"GLIOSIS, RETINA; GLIOSIS/ INFILTRATE, MONONUCLEAR, PERIVASCULAR"
Non-Neoplastic Finding Type	GLOMERULONEPHRITIS	"GLOMERULONEPHRITIS, PROLIFERATIVE; GLOMERULONEPHROSIS"
Non-Neoplastic Finding Type	GLOMERULOSCLEROSIS	PERIGLOMERULAR SCLEROSIS
Non-Neoplastic Finding Type	"GLYCOGEN, DECREASED"	"DECREASED CYTOPLASMIC GLYCOGEN; DECREASED GLYCOGEN; GLYCOGEN, DECREASED, HEPATOCYTES"
Non-Neoplastic Finding Type	GRANULATION TISSUE	"GRANULATION; GRANULATION TISSUE PROLIFERATION; GRANULATION TISSUE, PERITHYROIDAL"
Non-Neoplastic Finding Type	"GRANULES, DECREASED"	"AGRANULOCYTOSIS; COSTALCHONDRAL CARTILAGE, DEGENERATION; DECREASE, ZYMOGEN GRANULES; DECREASED ZYMOGEN GRANULES; DECREASED, ZYMOGEN GRANULES; DEGRANULATION; DEPLETION, ZYMOGEN; DEPLETION, ZYMOGEN GRANULE; DEPLETION, ZYMOGEN GRANULES; DEPLETION, ZYMOGEN, ACINAR; GRANULARITY; GRANULE; ZYMOGEN GRANULES, DECREASED; ZYMOGEN, DECREASED"
Non-Neoplastic Finding Type	"GRANULES, INCREASED"	"CYTOPLASMIC GRANULES, EPITHELIUM; EOSINOPHILIC GRANULES, THALAMUS; INCREASED GRANULARITY, CHIEF CELLS; INCREASED GRANULE SIZE, PANETH CELLS; INCREASED ZYMOGEN, ACINAR CELL; ZYMOGEN GRANULES, INCREASED, PERI-ISLET"
Non-Neoplastic Finding Type	GRANULOMA	"FOCAL GRANULOMA (MUSCULAR WALL); FOREIGN BODY GRANULOMA; GRANULOMA WITH HAIR SHAFT; GRANULOMA WITH PARASITE; GRANULOMA, FOCAL; GRANULOMA, FOREIGN BODY; GRANULOMA, FOREIGN MATERIAL; GRANULOMA, HAIR; GRANULOMA, HAIR SHAFT; GRANULOMA, HAIR SHAFT, DERMIS; GRANULOMA, HAIR SHAFT, PERIANAL GLANDS; GRANULOMA, HAIRSHAFT; GRANULOMA, HAIRSHAFT, SUBCUTIS; GRANULOMA, MUCOSA; GRANULOMA, PLANTAR; GRANULOMA, SUBPLEURAL; GRANULOMA, SUTURE; MICROGRANULOMA; MICROGRANULOMA, FOREIGN BODY; MICROGRANULOMA, MUCOSA; MICROGRANULOMAS; PARASITE GRANULOMA; SUTURE/GRANULOMA"
Non-Neoplastic Finding Type	GROWTH PLATE CLOSED	PHYSIS CLOSED
Non-Neoplastic Finding Type	GROWTH PLATE OPEN	"GROWTH PLATE, OPEN; PHYSIS OPEN; PHYSIS PRESENT"
Non-Neoplastic Finding Type	GROWTH PLATE PARTIALLY CLOSED	PHYSIS PARTIALLY OPEN
Non-Neoplastic Finding Type	"HAIR FOLLICLE, DECREASED"	LOSS OF HAIR SHAFT
Non-Neoplastic Finding Type	HEMATOMA	"HEMATOMA, CHRONIC"
Non-Neoplastic Finding Type	HEMORRHAGE	"ACUTE HEMORRHAGE; EXTRAVASATION, RED CELLS; HEMORRHAGE,  SUBCUTANEOUS; HEMORRHAGE, ACUTE; HEMORRHAGE, ACUTE, FOCAL/MULTIFOCAL; HEMORRHAGE, ADIPOSE TISSUE; HEMORRHAGE, ADVENTITIA; HEMORRHAGE, BURSA; HEMORRHAGE, CHRONIC; HEMORRHAGE, CORPORA LUTEA; HEMORRHAGE, CORPUS LUTEUM; HEMORRHAGE, DERMIS; HEMORRHAGE, ECCHYMOTIC; HEMORRHAGE, FOCAL/MULTIFOCAL; HEMORRHAGE, GALT; HEMORRHAGE, IN BRAIN AND SURROUNDING TISSUE; HEMORRHAGE, INSULAR/PERI-INSULAR; HEMORRHAGE, ISLET; HEMORRHAGE, LOBULAR; HEMORRHAGE, MUCOSA; HEMORRHAGE, MUCOSAL; HEMORRHAGE, MUSCLE; HEMORRHAGE, MUSCULARIS; HEMORRHAGE, PELVIC; HEMORRHAGE, PERACUTE; HEMORRHAGE, PERIARTICULAR; HEMORRHAGE, PERIOSTEAL; HEMORRHAGE, PERIPORTAL, FOCAL; HEMORRHAGE, PHYSIOLOGIC; HEMORRHAGE, SEROSA; HEMORRHAGE, STRIATED MUSCLE; HEMORRHAGE, SUBCUTANEOUS; HEMORRHAGE, SUBCUTIS; HEMORRHAGE, SUBMUCOSAL; HEMORRHAGE, VASCULAR, RED PULP; HEMORRHAGE, VESSEL, MEDIA; HEMORRHAGE/ PIGMENT/ FIBROSIS, ISLETS; HEMORRHAGE/EDEMA; HEMORRHAGE/INFLAMMATION; HEMORRHAGE/PIGMENT, PERI-ISLET/PERIVASCULAR; HEMORRHAGE/PIGMENT/INFLAMMATION/FIBROSIS, ISLETS; HEMORRHAGE/THROMBOSIS; HEMORRHAGE-SUBCUTIS"
Non-Neoplastic Finding Type	HEPATODIAPHRAGMATIC NODULE	"NODULE, HEPATODIAPHRAGMATIC"
Non-Neoplastic Finding Type	HYPERKERATOSIS	"ACANTHOSIS; ACANTHOSIS, FOCAL; ACANTHOSIS/HYPERKERATOSIS; ACANTHOSIS/HYPERKERATOSIS, OVERLYING EPIDERMIS; HYPERKERATOSIS, PARAKERATOTIC; HYPERKERATOSIS/ORTHOKERATOSIS; HYPERKERATOSIS/PARAKERATOSIS; HYPERKERATOSIS/PARAKERATOSIS, LIMITING RIDGE; INCREASED KERATIN; PARAKERATOSIS; PARAKERATOSIS, HYPERKERATOTIC"
Non-Neoplastic Finding Type	HYPERPLASIA	"HYPERPLASIA \ HYPERCELLULARITY \ INCREASED CELLULARITY; HYPERPLASIA AND HYPERTROPHY, BILE DUCT; HYPERPLASIA, ACINAR CELL; HYPERPLASIA, ACINAR, FOCAL; HYPERPLASIA, ADNEXAL; HYPERPLASIA, ATYPICAL; HYPERPLASIA, ATYPICAL, FOCAL; HYPERPLASIA, ATYPICAL, LOBULE; HYPERPLASIA, BASAL CELL; HYPERPLASIA, BILE DUCT; HYPERPLASIA, BILE DUCT, MULTIFOCAL; HYPERPLASIA, BILIARY EPITHELIUM; HYPERPLASIA, BRONCHIOLO-ALVEOLAR; HYPERPLASIA, CARTILAGE; HYPERPLASIA, C-CELL; HYPERPLASIA, C-CELL, DIFFUSE; HYPERPLASIA, C-CELL, FOCAL; HYPERPLASIA, C-CELL, FOCAL/MULTIFOCAL; HYPERPLASIA, CERVICAL MUCOSA; HYPERPLASIA, CORNEAL EPITHELIUM; HYPERPLASIA, CRYPT EPITHELIUM; HYPERPLASIA, CYSTIC; HYPERPLASIA, CYSTIC ENDOMETRIAL; HYPERPLASIA, CYSTIC/PAPILLARY; HYPERPLASIA, DIFFUSE; HYPERPLASIA, DUCT; HYPERPLASIA, DUCT, SALIVARY GLAND; HYPERPLASIA, DUCTAL CELL; HYPERPLASIA, ENDOCARDIUM; HYPERPLASIA, ENDOCARDIUM, VALVE; HYPERPLASIA, ENDOMETRIAL, CYSTIC/GLANDULAR; HYPERPLASIA, ENDOMETRIUM; HYPERPLASIA, ENDOTHELIUM; HYPERPLASIA, ENDOTHELIUM, ARTERY; HYPERPLASIA, EOSINOPHIL; HYPERPLASIA, EPICARDIAL; HYPERPLASIA, EPICARDIUM; HYPERPLASIA, EPIDERMAL; HYPERPLASIA, EPIDERMIS; HYPERPLASIA, EPITHELIAL; HYPERPLASIA, EPITHELIAL, LIMITING RIDGE; HYPERPLASIA, EPITHELIAL, NONGLANDULAR; HYPERPLASIA, EPITHELIAL, TUBULAR; HYPERPLASIA, EPITHELIUM; HYPERPLASIA, EPITHELIUM, ALVEOLUS; HYPERPLASIA, EPITHELIUM, BRONCHUS/BRONCHIOLO-ALVEOLAR; HYPERPLASIA, EPITHELIUM, BRONCHUS/BRONCHIOLUS; HYPERPLASIA, ERYTHROID; HYPERPLASIA, FIBROINTIMAL; HYPERPLASIA, FOCAL; HYPERPLASIA, FOCAL CORTICAL; HYPERPLASIA, FOCAL, ACIDOPHILS; HYPERPLASIA, FOCAL, CORTEX; HYPERPLASIA, FOCAL, PARS DISTALIS; HYPERPLASIA, FOCAL/MULTIFOCAL; HYPERPLASIA, FOLLICULAR CELL; HYPERPLASIA, FOLLICULAR, NODULAR; HYPERPLASIA, GERMINAL CENTER; HYPERPLASIA, GLAND; HYPERPLASIA, GOBLET CELL; HYPERPLASIA, GRANULAR CELLS, MENINGES; HYPERPLASIA, GRANULOSA/THECA CELL; HYPERPLASIA, HEPATOCELLULAR, NODULAR; HYPERPLASIA, INFLAMMATION-ASSOCIATED; HYPERPLASIA, INTERSTITIAL CELL; HYPERPLASIA, INTIMA; HYPERPLASIA, INTIMA, VESSEL; HYPERPLASIA, INTIMAL; HYPERPLASIA, INTIMAL, VESSEL; HYPERPLASIA, ISLET CELL; HYPERPLASIA, ISLET CELL/DUCTAL CELL; HYPERPLASIA, ISLET, SMALL CELL; HYPERPLASIA, ITO CELL; HYPERPLASIA, KUPFFER CELL; HYPERPLASIA, LIMITING RIDGE; HYPERPLASIA, LYMPHOCYTE; HYPERPLASIA, LYMPHOCYTE/PLASMA CELL; HYPERPLASIA, LYMPHOCYTES; HYPERPLASIA, LYMPHOCYTES, FOLLICLE; HYPERPLASIA, LYMPHOCYTES, MEDULLA; HYPERPLASIA, LYMPHOID; HYPERPLASIA, LYMPHOID FOLLICLES; HYPERPLASIA, LYMPHOID, FOLLICULAR; HYPERPLASIA, LYMPHOID, GERMINAL CENTER; HYPERPLASIA, LYMPHOID, PARACORTICAL; HYPERPLASIA, MEDIAL, ARTERY/ARTERIOLE; HYPERPLASIA, MEGAKARYOCYTIC; HYPERPLASIA, MENINGOTHELIAL; HYPERPLASIA, MESOTHELIAL; HYPERPLASIA, MESOTHELIAL CELL; HYPERPLASIA, MESOTHELIAL CELLS; HYPERPLASIA, MESOTHELIAL, SEROSA; HYPERPLASIA, MESOTHELIUM; HYPERPLASIA, MESOTHELIUM, FOCAL/MULTIFOCAL; HYPERPLASIA, MUCOSA; HYPERPLASIA, MUCOSAL; HYPERPLASIA, MYELOID; HYPERPLASIA, NODULAR; HYPERPLASIA, NODULAR LYMPHOID; HYPERPLASIA, NODULAR, LYMPHOCYTES; HYPERPLASIA, NON-SPECIFIC; HYPERPLASIA, OSTEOBLAST; HYPERPLASIA, OVIDUCT EPITHELIUM; HYPERPLASIA, PANCREATIC DUCT; HYPERPLASIA, PARACORTEX; HYPERPLASIA, PARS DISTALIS; HYPERPLASIA, PERIOSTEUM, TIBIAL-TARSAL BONES; HYPERPLASIA, PHYSIOLOGIC; HYPERPLASIA, PLASMA CELL; HYPERPLASIA, RATHKE'S POUCH EPITHELIUM; HYPERPLASIA, RETE OVARII; HYPERPLASIA, SEBACEOUS GLAND; HYPERPLASIA, SERTOLI CELL; HYPERPLASIA, SERTOLIFORM; HYPERPLASIA, SERTOLIFORM CELL; HYPERPLASIA, SINUSOIDAL/STROMAL CELL; HYPERPLASIA, SQUAMOUS CELL; HYPERPLASIA, SQUAMOUS EPITHELIAL; HYPERPLASIA, SQUAMOUS EPITHELIUM; HYPERPLASIA, STROMA; HYPERPLASIA, SUBCAPSULAR CELL; HYPERPLASIA, SUBMUCOSAL UROTHELIAL; HYPERPLASIA, TRANSITIONAL CELL; HYPERPLASIA, TRANSITIONAL CELL, INFLAMMATION-ASSOCIATED; HYPERPLASIA, TRANSITIONAL CELL, PAPILLA; HYPERPLASIA, TUBULE CELL; HYPERPLASIA, TUBULE CELL, ATYPICAL; HYPERPLASIA, TUBULE CELL, FOCAL; HYPERPLASIA, TUNICA MUSCULARIS; HYPERPLASIA, TYPE II PNEUMOCYTE, ALVEOLUS; HYPERPLASIA, URINARY EPITHELIUM; HYPERPLASIA, UROTHELIAL; HYPERPLASIA, UROTHELIAL, PELVIC; HYPERPLASIA, UROTHELIUM; HYPERPLASIA, VAGINAL EPITHELIUM; HYPERPLASIA,CRYPT, EPITHELIUM; HYPERPLASIA/HYPERKERATOSIS; HYPERPLASIA/HYPERKERATOSIS, EPITHELIUM; HYPERPLASIA/HYPERKERATOSIS, MUCOSA; HYPERPLASIA/HYPERKERATOSIS, MUCOSA, EPITHELIUM; HYPERPLASIA/HYPERKERATOSIS, MUCOSAL EPITHELIUM; HYPERPLASIA/METAPLASIA, TRANSITIONAL CELL; ITO/KUPFFER CELL HYPERPLASIA; LYMPHOID HYPERPLASIA, PARACORTICAL; MYOINTIMAL HYPERPLASIA; PAPILLARY PROLIFERATION, MESOTHELIUM; STROMAL HYPERPLASIA; SUBCAPSULAR HYPERPLASIA"
