Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C74904	C67154		Laboratory Test Name	Vitamin D2	Calciferol; Ergocalciferol; Viosterol; Vitamin D2	A measurement of the Vitamin D2 in a biological specimen.	Vitamin D2 Measurement
C74905	C67154		Laboratory Test Name	Vitamin D3	Calciol; Cholecalciferol; Colecalciferol; Vitamin D; Vitamin D3	A measurement of the Vitamin D3 in a biological specimen.	Vitamin D3 Measurement
C74906	C67154		Laboratory Test Name	Vitamin E	Vitamin E	A measurement of the Vitamin E in a biological specimen.	Vitamin E Measurement
C103448	C67154		Laboratory Test Name	Vitamin E/Cholesterol	Vitamin E/Cholesterol	A relative measurement (ratio or percentage) of vitamin E to total cholesterol in a biological specimen.	Vitamin E to Cholesterol Ratio Measurement
C74907	C67154		Laboratory Test Name	Vitamin K	Naphthoquinone; Vitamin K	A measurement of the total Vitamin K in a biological specimen.	Vitamin K Measurement
C103449	C67154		Laboratory Test Name	Vitamin K1	Phylloquinone; Phytomenadione; Vitamin K1	A measurement of the Vitamin K1 in a biological specimen.	Vitamin K1 Measurement
C165995	C67154		Laboratory Test Name	Vitronectin	V75; Vitronectin; VN; VNT; VTN	A measurement of the vitronectin in a biological specimen.	Vitronectin Measurement
C184517	C67154		Laboratory Test Name	VLDL Apolipoprotein B	VLDL Apolipoprotein B	A measurement of the apolipoprotein B in the very low density lipoprotein fraction of a biological specimen.	VLDL Apolipoprotein B Measurement
C120667	C67154		Laboratory Test Name	VLDL Cholesterol Subtype 1	VLDL Cholesterol Subtype 1	A measurement of the very low density lipoprotein cholesterol subtype 1 in a biological specimen.	VLDL Cholesterol Subtype 1 Measurement
C120668	C67154		Laboratory Test Name	VLDL Cholesterol Subtype 2	VLDL Cholesterol Subtype 2	A measurement of the very low density lipoprotein cholesterol subtype 2 in a biological specimen.	VLDL Cholesterol Subtype 2 Measurement
C120669	C67154		Laboratory Test Name	VLDL Cholesterol Subtype 3	VLDL Cholesterol Subtype 3	A measurement of the very low density lipoprotein cholesterol subtype 3 in a biological specimen.	VLDL Cholesterol Subtype 3 Measurement
C105589	C67154		Laboratory Test Name	VLDL Cholesterol	VLDL Cholesterol	A measurement of the very low density lipoprotein cholesterol in a biological specimen.	Very Low Density Lipoprotein Cholesterol Measurement
C103450	C67154		Laboratory Test Name	VLDL Particle Size	VLDL Particle Size	A measurement of the average particle size of very-low-density lipoprotein in a biological specimen.	VLDL Particle Size Measurement
C174301	C67154		Laboratory Test Name	VLDL Trig + Chylomicron Trig	VLDL Trig + Chylomicron Trig; VLDL Triglyceride + Chylomicron Triglyceride	A measurement of the very low density lipoprotein triglyceride and chylomicron triglyceride in a biological specimen.	VLDL Triglyceride and Chylomicron Triglyceride Measurement
C174303	C67154		Laboratory Test Name	VLDL Triglyceride	VLDL Triglyceride	A measurement of the very low density lipoprotein triglyceride in a biological specimen.	VLDL Triglyceride Measurement
C74720	C67154		Laboratory Test Name	Volume	Volume	A measurement of the volume of a biological specimen.	Volume Measurement
C147447	C67154		Laboratory Test Name	von Will Factor Act Actual/Control	von Will Factor Act Actual/Control; von Willebrand Factor Activity Actual/Normal; von Willebrand Factor Activity Actual/von Willebrand Factor Activity Control	A relative measurement (ratio or percentage) of the biological activity of the von Willebrand factor dependent coagulation in a subject's specimen when compared to the same activity in a control specimen.	von Willebrand Factor Activity Actual to Control Ratio Measurement
C170597	C67154		Laboratory Test Name	von Will Factor Actual/Control	von Will Factor Actual/Control; von Willebrand Factor Actual/Control; von Willebrand Factor Actual/Normal; von Willebrand Factor Actual/von Willebrand Factor Control	A relative measurement (ratio or percentage) of the von Willebrand factor in a subject's specimen when compared to a control specimen.	von Willebrand Factor Actual to Control Ratio Measurement
C122117	C67154		Laboratory Test Name	von Willebrand Factor Activity	von Willebrand Factor Activity	A measurement of the biological activity of von Willebrand coagulation factor in a biological specimen.	von Willebrand Factor Activity Measurement
C147336	C67154		Laboratory Test Name	von Willebrand Factor Multimers	von Willebrand Factor Multimers	A measurement of the von Willebrand Factor multimers (an aggregate of multiple von Willebrand factor antigens that are held together with non-covalent bonds) in a biological specimen.	von Willebrand Factor Multimers Measurement
C98799	C67154		Laboratory Test Name	von Willebrand Factor	von Willebrand Factor; von Willebrand Factor Antigen	A measurement of the von Willebrand coagulation factor in a biological specimen.	von Willebrand Factor Measurement
C177961	C67154		Laboratory Test Name	Walnut Antigen IgE Antibody	Juglans Species Nut Antigen IgE Antibody; Walnut Antigen IgE Antibody	A measurement of the walnut antigen IgE antibody in a biological specimen.	Walnut Antigen IgE Antibody Measurement
C74777	C67154		Laboratory Test Name	Waxy Casts	Waxy Casts	A measurement of the waxy casts present in a biological specimen.	Waxy Cell Cast Measurement
C74778	C67154		Laboratory Test Name	WBC Casts	WBC Casts	A measurement of the white blood cell casts present in a biological specimen.	White Blood Cell Cast Measurement
C127637	C67154		Laboratory Test Name	WD Repeat-Containing Protein 26	CDW2; Macrophage Inflammatory Protein-2; MIP2; WD Repeat-Containing Protein 26	A measurement of the WD repeat-containing protein 26 in a biological specimen.	WD Repeat-Containing Protein 26 Measurement
C130108	C67154		Laboratory Test Name	Weed Mix Pollen Antigen IgA Antibody	Weed Mix Pollen Antigen IgA Antibody	A measurement of the weed mix pollen antigen IgA antibody in a biological specimen.	Weed Mix Pollen Antigen IgA Antibody Measurement
C130106	C67154		Laboratory Test Name	Weed Mix Pollen Antigen IgE Antibody	Weed Mix Pollen Antigen IgE Antibody	A measurement of the weed mix pollen antigen IgE antibody in a biological specimen.	Weed Mix Pollen Antigen IgE Antibody Measurement
C130107	C67154		Laboratory Test Name	Weed Mix Pollen Antigen IgG Antibody	Weed Mix Pollen Antigen IgG Antibody	A measurement of the weed mix pollen antigen IgG antibody in a biological specimen.	Weed Mix Pollen Antigen IgG Antibody Measurement
C165925	C67154		Laboratory Test Name	Weed Mix Pollen IgE AB RAST Score	Weed Mix Pollen IgE AB RAST Score	A classification of the amount of weed mix pollen IgE antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	Weed Mix Pollen IgE Antibody RAST Score Measurement
C165906	C67154		Laboratory Test Name	Weed Mix Pollen IgG AB RAST Score	Weed Mix Pollen IgG AB RAST Score	A classification of the amount of weed mix pollen IgG antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	Weed Mix Pollen IgG Antibody RAST Score Measurement
C130093	C67154		Laboratory Test Name	Western Ragweed Pollen IgA	Western Ragweed Pollen IgA	A measurement of the Ambrosia psilostachya pollen antigen IgA antibody in a biological specimen.	Western Ragweed Pollen IgA Measurement
C165891	C67154		Laboratory Test Name	Western Ragweed Pollen IgE AB RAST Score	Western Ragweed Pollen IgE AB RAST Score	A classification of the amount of Ambrosia psilostachya pollen antigen IgE antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	Western Ragweed Pollen IgE Antibody RAST Score Measurement
C130092	C67154		Laboratory Test Name	Western Ragweed Pollen IgE	Western Ragweed Pollen IgE	A measurement of the Ambrosia psilostachya pollen antigen IgE antibody in a biological specimen.	Western Ragweed Pollen IgE Measurement
C165903	C67154		Laboratory Test Name	Western Ragweed Pollen IgG AB RAST Score	Western Ragweed Pollen IgG AB RAST Score	A classification of the amount of Ambrosia psilostachya pollen IgG antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	Western Ragweed Pollen IgG Antibody RAST Score Measurement
C130094	C67154		Laboratory Test Name	Western Ragweed Pollen IgG	Western Ragweed Pollen IgG	A measurement of the Ambrosia psilostachya pollen antigen IgG antibody in a biological specimen.	Western Ragweed Pollen IgG Measurement
C130095	C67154		Laboratory Test Name	Western Ragweed Pollen IgG4	Western Ragweed Pollen IgG4	A measurement of the Ambrosia psilostachya pollen antigen IgG4 antibody in a biological specimen.	Western Ragweed Pollen IgG4 Measurement
C165882	C67154		Laboratory Test Name	White Elm Pollen IgE AB RAST Score	White Elm Pollen IgE AB RAST Score	A classification of the amount of Ulmus americana pollen antigen IgE antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	White Elm Pollen IgE Antibody RAST Score Measurement
C165881	C67154		Laboratory Test Name	White Elm Pollen IgE Antibody	White Elm Pollen IgE Antibody	A measurement of the Ulmus americana pollen antigen IgE antibody in a biological specimen.	White Elm Pollen IgE Antibody Measurement
C165920	C67154		Laboratory Test Name	White Elm Pollen IgG AB RAST Score	White Elm Pollen IgG AB RAST Score	A classification of the amount of Ulmus americana pollen IgG antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	White Elm Pollen IgG Antibody RAST Score Measurement
C147283	C67154		Laboratory Test Name	White Elm Pollen IgG Antibody	White Elm Pollen IgG Antibody	A measurement of the Ulmus americana pollen antigen IgG antibody in a biological specimen.	White Elm Pollen IgG Antibody Measurement
C165886	C67154		Laboratory Test Name	White Oak Pollen IgE AB RAST Score	White Oak Pollen IgE AB RAST Score	A classification of the amount of Quercus alba pollen antigen IgE antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	White Oak Pollen IgE Antibody RAST Score Measurement
C147282	C67154		Laboratory Test Name	White Oak Pollen IgE Antibody	White Oak Pollen IgE Antibody	A measurement of the Quercus alba pollen antigen IgE antibody in a biological specimen.	White Oak Pollen IgE Antibody Measurement
C176296	C67154		Laboratory Test Name	Whole Blood Equivalent Glucose	Whole Blood Equivalent Glucose	A measurement of the whole blood equivalent glucose in a biological specimen.	Whole Blood Equivalent Glucose Measurement
C165893	C67154		Laboratory Test Name	Wild Rye Pollen IgE AB RAST Score	Wild Rye Pollen IgE AB RAST Score	A classification of the amount of Elymus tricoides pollen antigen IgE antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	Wild Rye Pollen IgE Antibody RAST Score Measurement
C165892	C67154		Laboratory Test Name	Wild Rye Pollen IgE Antibody	Wild Rye Pollen IgE Antibody	A measurement of the Elymus tricoides pollen antigen IgE antibody in a biological specimen.	Wild Rye Pollen IgE Antibody Measurement
C147449	C67154		Laboratory Test Name	Xanthochromia	Xanthochromia	A measurement of the yellowish appearance of a biological specimen due to the presence of bilirubin produced by the degradation of heme from erythrocytes that have entered the biological specimen.	Xanthochromia Measurement
C106504	C67154		Laboratory Test Name	Yeast Budding	Budding Yeast; Yeast Budding	A measurement of the budding yeast present in a biological specimen.	Budding Yeast Measurement
C74664	C67154		Laboratory Test Name	Yeast Cells	Yeast Cells	A measurement of the yeast cells present in a biological specimen.	Yeast Cell Measurement
C92239	C67154		Laboratory Test Name	Yeast Hyphae	Yeast Hyphae	A measurement of the yeast hyphae present in a biological specimen.	Yeast Hyphae Screening
C142294	C67154		Laboratory Test Name	YKL-40 Protein	Chitinase-3-Like Protein 1; YKL-40 Protein	A measurement of the YKL-40 protein in a biological specimen.	YKL-40 Protein Measurement
C184636	C67154		Laboratory Test Name	Zaleplon	Zaleplon	A measurement of the zaleplon in a biological specimen.	Zaleplon Measurement
C147279	C67154		Laboratory Test Name	Zea mays Antigen IgE Antibody	Corn Antigen IgE Antibody; Zea mays Antigen IgE Antibody	A measurement of the Zea mays antigen IgE antibody in a biological specimen.	Zea mays Antigen IgE Antibody Measurement
C165937	C67154		Laboratory Test Name	Zea mays IgE AB RAST Score	Zea mays IgE AB RAST Score	A classification of the amount of Zea mays IgE antibody, using the RAST (radioallergosorbent test) scoring system, in a biological specimen.	Zea mays IgE Antibody RAST Score Measurement
C147452	C67154		Laboratory Test Name	Zinc Protoporphyrin	Zinc Protoporphyrin	A measurement of the zinc protoporphyrin (zinc bound protoporphyrin) in a biological specimen.	Zinc Protoporphyrin Measurement
C80210	C67154		Laboratory Test Name	Zinc	Zinc	A measurement of the zinc in a biological specimen.	Zinc Measurement
C177986	C67154		Laboratory Test Name	Ziprasidone	Ziprasidone	A measurement of the ziprasidone in a biological specimen.	Ziprasidone Measurement
C184637	C67154		Laboratory Test Name	Zolpidem	Zolpidem	A measurement of the zolpidem in a biological specimen.	Zolpidem Measurement
C184638	C67154		Laboratory Test Name	Zopiclone	Zopiclone	A measurement of the zopiclone in a biological specimen.	Zopiclone Measurement
C99073		Yes	Laterality	LAT	Laterality	CDISC terminology for anatomical location or specimen further detailing the side(s) of interest.	CDISC SDTM Laterality Terminology
C13332	C99073		Laterality	BILATERAL		Affecting both sides of the body, or a pair of organs.	Bilateral
C25307	C99073		Laterality	CONTRALATERAL		Having to do with the opposite side of the body, in relation to a pre-existing reference point.	Contralateral
C25308	C99073		Laterality	IPSILATERAL		Having to do with the same side of the body, in relation to a pre-existing reference point.	Ipsilateral
C25230	C99073		Laterality	LATERAL		Situated at or extending to the side.	Lateral
C25229	C99073		Laterality	LEFT		Being or located on or directed toward the side of the body to the west when facing north.	Left
C25228	C99073		Laterality	RIGHT		Being or located on or directed toward the side of the body to the east when facing north.	Right
C28012	C99073		Laterality	UNILATERAL		Affecting one side of the body or one of a pair of organs.	Unilateral
C89972		Yes	Macroscopic Findings Test Code	MATESTCD	Macroscopic Findings Test Code	Terminology for the test codes concerned with the findings from a specimen that are visible to the naked eye.	CDISC SEND Macroscopic Findings Test Code Terminology
C16033	C89972		Macroscopic Findings Test Code	CLSFUP	Clinical Signs Follow-up	The process by which information about the health status of a subject is obtained after the subject is no longer receiving study medication.	Follow-Up
C90390	C89972		Macroscopic Findings Test Code	GROSPATH	Gross Pathological Examination	An assessment of macroscopic pathological findings.	Gross Pathologic Examination
C89971		Yes	Macroscopic Findings Test Name	MATEST	Macroscopic Findings Test Name	Terminology for the test names concerned with the findings from a specimen that are visible to the naked eye.	CDISC SEND Macroscopic Findings Test Name Terminology
C16033	C89971		Macroscopic Findings Test Name	Clinical Signs Follow-up	Clinical Signs Follow-up	The process by which information about the health status of a subject is obtained after the subject is no longer receiving study medication.	Follow-Up
C90390	C89971		Macroscopic Findings Test Name	Gross Pathological Examination	Gross Pathological Examination	An assessment of macroscopic pathological findings.	Gross Pathologic Examination
C89975		Yes	Method of Termination	MTHTRM	Method of Termination	Terminology related to the method by which an experimental organism is euthanized. This includes events that occur as a step in the induction of death.	CDISC SEND Method of Termination Terminology
C90355	C89975		Method of Termination	ANESTHETIZED CERVICAL DISLOCATION		A method of euthanasia whereby a subject is anesthetized and the spinal column is dislocated from the skull and brain.	Anesthesia and Cervical Dislocation Euthanasia
C90356	C89975		Method of Termination	ANESTHETIZED DECAPITATION		A method of euthanasia whereby a subject is anesthetized and the head is removed from the body.	Anesthesia and Decapitation Euthanasia
C106500	C89975		Method of Termination	ANESTHETIZED EXSANGUINATION AND PERFUSION	Anesthetized Perfusion	A method of euthanasia whereby a subject is anesthetized and the blood of the body is replaced by a perfusate. (NCI)	Anesthetized Exsanguination and Perfusion Euthanasia
C90357	C89975		Method of Termination	ANESTHETIZED EXSANGUINATION		A method of euthanasia whereby a subject is anesthetized and the body is drained of blood.	Anesthesia and Exsanguination Euthanasia
C116221	C89975		Method of Termination	ANESTHETIZED LETHAL INJECTION EXSANGUINATION		A method of euthanasia whereby a subject is anesthetized, a lethal chemical is administered by injection and the body is drained of blood.	Anesthetized Lethal Injection Exsanguination Euthanasia
C116224	C89975		Method of Termination	ANESTHETIZED LETHAL INJECTION INTRACARDIAC EXSANGUINATION		A method of euthanasia whereby a subject is anesthetized, a lethal chemical is administered by intracardiac injection and the body is drained of blood.	Anesthetized Intracardiac Lethal Injection and Exsanguination Euthanasia
C116220	C89975		Method of Termination	ANESTHETIZED LETHAL INJECTION INTRACARDIAC		A method of euthanasia whereby a subject is anesthetized and a lethal chemical is administered by intracardiac injection to induce death.	Anesthetized Intracardiac Lethal Injection Euthanasia
C116223	C89975		Method of Termination	ANESTHETIZED LETHAL INJECTION INTRAPERITONEAL EXSANGUINATION		A method of euthanasia whereby a subject is anesthetized, a lethal chemical is administered by intraperitoneal injection and the body is drained of blood.	Anesthetized Intraperitoneal Lethal Injection and Exsanguination Euthanasia
C116219	C89975		Method of Termination	ANESTHETIZED LETHAL INJECTION INTRAPERITONEAL		A method of euthanasia whereby a subject is anesthetized and a lethal chemical is administered by intraperitoneal injection to induce death.	Anesthetized Intraperitoneal Lethal Injection Euthanasia
C116222	C89975		Method of Termination	ANESTHETIZED LETHAL INJECTION INTRAVENOUS EXSANGUINATION		A method of euthanasia whereby a subject is anesthetized, a lethal chemical is administered by intravenous injection and the body is drained of blood.	Anesthetized Lethal Injection Intravenous Exsanguination Euthanasia
C116218	C89975		Method of Termination	ANESTHETIZED LETHAL INJECTION INTRAVENOUS		A method of euthanasia whereby a subject is anesthetized and a lethal chemical is administered by intravenous injection to induce death.	Anesthetized Intravenous Lethal Injection Euthanasia
C116217	C89975		Method of Termination	ANESTHETIZED LETHAL INJECTION		A method of euthanasia whereby a subject is anesthetized and a lethal chemical is administered by injection to induce death.	Anesthetized Lethal Injection Euthanasia
C106506	C89975		Method of Termination	CAPTIVE BOLT EXSANGUINATION		A method of euthanasia whereby a subject is shot in the brain with a captive bolt pistol causing immediate and permanent unconsciousness or death, followed by draining the body of blood. (NCI)	Captive Bolt and Exsanguination Euthanasia
C106507	C89975		Method of Termination	CARBON DIOXIDE EXSANGUINATION	Asphyxia Exsanguination	A method of euthanasia whereby a subject inhales carbon dioxide until asphyxiation occurs and then the body is immediately drained of blood. (NCI)	Carbon Dioxide and Exsanguination Euthanasia
C90371	C89975		Method of Termination	CERVICAL DISLOCATION		A method of euthanasia whereby the spinal column is dislocated from the skull and brain.	Cervical Dislocation
C90369	C89975		Method of Termination	CO2		A method of euthanasia whereby a subject inhales carbon dioxide until death occurs.	Carbon Dioxide Euthanasia
C90375	C89975		Method of Termination	DECAPITATION		A method of euthanasia whereby a subject's head is removed from the body.	Decapitation
C116114	C89975		Method of Termination	LETHAL INJECTION EXSANGUINATION		A method of euthanasia whereby a subject is given a lethal injection and the body is drained of blood.	Lethal Injection and Exsanguination Euthanasia
C116230	C89975		Method of Termination	LETHAL INJECTION INTRACARDIAC EXSANGUINATION		A method of euthanasia whereby a subject is given a lethal intracardiac injection and the body is drained of blood.	Intracardiac Lethal Injection and Exsanguination Euthanasia
C116227	C89975		Method of Termination	LETHAL INJECTION INTRACARDIAC		A method of euthanasia whereby a subject is given a lethal intracardiac injection to induce death.	Intracardiac Lethal Injection Euthanasia
C116229	C89975		Method of Termination	LETHAL INJECTION INTRAPERITONEAL EXSANGUINATION		A method of euthanasia whereby a subject is given a lethal intraperitoneal injection and the body is drained of blood.	Intraperitoneal Lethal Injection and Exsanguination Euthanasia
C116226	C89975		Method of Termination	LETHAL INJECTION INTRAPERITONEAL		A method of euthanasia whereby a subject is given a lethal intraperitoneal injection to induce death.	Intraperitoneal Lethal Injection Euthanasia
C116228	C89975		Method of Termination	LETHAL INJECTION INTRAVENOUS EXSANGUINATION		A method of euthanasia whereby a subject is given a lethal intravenous injection and the body is drained of blood.	Intravenous Lethal Injection and Exsanguination Euthanasia
C116225	C89975		Method of Termination	LETHAL INJECTION INTRAVENOUS		A method of euthanasia whereby a subject is given a lethal intravenous injection to induce death.	Intravenous Lethal Injection Euthanasia
C116113	C89975		Method of Termination	LETHAL INJECTION		A method of euthanasia whereby a subject is given a lethal injection to induce death.	Lethal Injection Euthanasia
C90017		Yes	Microscopic Histopathology Result Category	MIRESCAT	Microscopic Histopathology Result Category	Terminology related to the classifications of the results from a microscopic histopathological analysis.	CDISC SEND Microscopic Histopathology Result Category Terminology
C14172	C90017		Microscopic Histopathology Result Category	BENIGN	Benign	For neoplasms, a non-infiltrating and non-metastasizing neoplastic process that is characterized by the absence of morphologic features associated with malignancy (e.g., severe atypia, nuclear pleomorphism, tumor cell necrosis, and abnormal mitoses). For other conditions, a process that is mild in nature and not dangerous to health. (NCI)	Benign
C14143	C90017		Microscopic Histopathology Result Category	MALIGNANT	Malignant	Refers to abnormal cell activity manifested by decreased control over growth and function, causing tumor growth or spread into surrounding tissue and adverse effects to the host. (NCI)	Malignant
C14174	C90017		Microscopic Histopathology Result Category	METASTATIC	Metastatic	A term referring to the pathologic observation of a tumor extension or migration from its original site of growth to another non-adjacent site.	Metastatic
C53529	C90017		Microscopic Histopathology Result Category	NON-NEOPLASTIC	Non-neoplastic Disorder	Any disorder other than abnormal tissue growth resulting from uncontrolled cell proliferation. (NCI)	Non-Neoplastic Disorder
C89084	C90017		Microscopic Histopathology Result Category	UNDETERMINED	Undetermined	A term referring to the lack of definitive clinical or pathologic criteria for a tumor to predict its clinical course or classify it as benign or malignant.	Undetermined
C176226		No	Microscopy Sexual Maturity Status	MISXMAT	Microscopy Sexual Maturity Status	Terminology related to the sexual maturity status determined by qualitative microscopic evaluation.	CDISC SEND Microscopy Sexual Maturity Status Terminology
C25531	C176226		Microscopy Sexual Maturity Status	IMMATURE		In an early period of life or development or growth; not fully developed.	Immature
C48658	C176226		Microscopy Sexual Maturity Status	INDETERMINATE	Inconclusive	Cannot distinguish between two or more possible values in the current context. (NCI)	Indeterminate
C156784	C176226		Microscopy Sexual Maturity Status	MATURE		Having reached a completed state of development or growth; fully developed.	Mature
C176390	C176226		Microscopy Sexual Maturity Status	PERIPUBERTAL		The transitional period of life between immature and mature reproductive states.	Peripubertal
C88025		Yes	Neoplasm Type	NEOPLASM	Neoplasm Type	The terminology that includes concepts relevant to benign or malignant tissue growth.	CDISC SEND Tumor Findings Results Terminology
C116215	C88025		Neoplasm Type	ACINAR-ISLET CELL TUMOR, BENIGN		A benign tumor of the pancreas with morphologic characteristics of endocrine, acinar and ductal cells. (INHAND)	Experimental Organism Benign Acinar-islet Cell Tumor
C6878	C88025		Neoplasm Type	ACINAR-ISLET CELL TUMOR, MALIGNANT		A malignant pancreatic neoplasm characterized by the presence of a mixture of acinar and islet cell elements.	Pancreatic Mixed Acinar-Neuroendocrine Carcinoma
C7644	C88025		Neoplasm Type	ADAMANTINOMA, MALIGNANT	Adamantinoma	A low-grade malignant neoplasm composed of epithelial cells and a spindle cell osteo-fibrous proliferation.	Adamantinoma
C4200	C88025		Neoplasm Type	ADENOACANTHOMA, MALIGNANT	Adenoacanthoma	A malignant neoplasm arising from glandular cells that includes focal or extensive areas of squamous metaplasia.	Adenocarcinoma with Squamous Metaplasia
C154892	C88025		Neoplasm Type	ADENOCARCINOMA ARISING IN FIBROADENOMA, MALIGNANT		A malignant adenocarcinoma that arises from a pre-existing benign fibroadenoma.	Experimental Organism Adenocarcinoma Arising in Fibroadenoma
C3766	C88025		Neoplasm Type	ADENOCARCINOMA, CLEAR CELL, MALIGNANT	Clear Cell Carcinoma; Mesonephroid Clear Cell Adenocarcinoma; Mesonephroid Clear Cell Carcinoma	A malignant neoplasm comprising glandular epithelial clear cells.	Clear Cell Adenocarcinoma
C156609	C88025		Neoplasm Type	ADENOCARCINOMA, DUCTAL CELL, MALIGNANT		A malignant adenocarcinoma characterized by duct-like structures accompanied by dense, fibrous stroma. (INHAND)	Experimental Organism Ductal Cell Adenocarcinoma
C7359	C88025		Neoplasm Type	ADENOCARCINOMA, ENDOMETRIAL, MALIGNANT	Adenocarcinoma of Endometrium; Adenocarcinoma of the Endometrium	A malignant glandular neoplasm of the uterine lining.	Endometrial Adenocarcinoma
C2852	C88025		Neoplasm Type	ADENOCARCINOMA, MALIGNANT		A malignant neoplasm arising from glandular cells.	Adenocarcinoma
C26712	C88025		Neoplasm Type	ADENOCARCINOMA, MUCINOUS, MALIGNANT	Colloid Adenocarcinoma; Colloid Carcinoma; Gelatinous Adenocarcinoma; Gelatinous Carcinoma; Mucinous Carcinoma; Mucoid Adenocarcinoma; Mucoid Carcinoma; Mucous Adenocarcinoma; Mucous Carcinoma	An adenocarcinoma comprising neoplastic glandular cells containing intracytoplasmic mucin.	Mucinous Adenocarcinoma
C2853	C88025		Neoplasm Type	ADENOCARCINOMA, PAPILLARY, MALIGNANT		An adenocarcinoma with papillary growth pattern.	Papillary Adenocarcinoma
C40310	C88025		Neoplasm Type	ADENOCARCINOMA, SEBACEOUS, MALIGNANT	Carcinoma of Sebaceous Gland; Carcinoma of the Sebaceous Gland; Carcinoma, Sebaceous Cell; Sebaceous Gland Carcinoma	A malignant adenocarcinoma with sebaceous differentiation.	Sebaceous Carcinoma
C8984	C88025		Neoplasm Type	ADENOFIBROMA, BENIGN	Benign Mixed Muellerian Tumor	Benign mixed neoplasm comprised of epithelial/glandular and mesenchymal structures.	Female Reproductive System Adenofibroma
C4159	C88025		Neoplasm Type	ADENOLIPOMA, BENIGN		Benign mixed neoplasm comprised of epithelial/glandular and lipomatous structures.	Lipoadenoma
C4196	C88025		Neoplasm Type	ADENOMA, ACINAR CELL, BENIGN	Acinar Adenoma; Acinic Cell Adenoma	A benign glandular epithelial neoplasm comprising secretory cells forming acinar patterns.	Acinar Cell Adenoma
C7580	C88025		Neoplasm Type	ADENOMA, ADNEXAL, BENIGN	Adenoma of Adnexa; Adenoma of Skin Appendage; Adnexal Adenoma	A benign epithelial neoplasm arising from the sebaceous or sweat glands.	Skin Appendage Adenoma
C9003	C88025		Neoplasm Type	ADENOMA, ADRENOCORTICAL, BENIGN	Adenoma of Adrenal Cortex; Adenoma of Adrenal Gland; Adenoma of the Adrenal Cortex; Adenoma of the Adrenal Gland; Adrenal Adenoma; Adrenal Cortical Adenoma; Adrenal Gland Adenoma; Adrenocortical Adenoma; Benign Adenoma of Adrenal Gland; Benign Adenoma of the Adrenal Gland; Benign Adrenal Adenoma; Benign Adrenal Gland Adenoma; Cortical Cell Adenoma	A benign neoplasm arising from any of the adrenal cortical layers.	Adrenal Cortex Adenoma
C176394	C88025		Neoplasm Type	ADENOMA, AMPHOPHILIC VACUOLAR, BENIGN		A benign neoplasm of the renal tubules, composed of distinct lobules of large, round to polyhedral cells with vacuolated amphophilic to eosinophilic cytoplasm and prominent nucleoli. (Crabbs TA, Frame SR, Laast VA, Patrick DJ, Thomas J, Zimmerman B, Hardisty JF (2013) Occurrence of spontaneous amphophilic-vacuolar renal tubule tumors in Sprague-Dawley rats from subchronic toxicity studies. Toxicol Pathol 41:866-87)	Experimental Organism Amphophilic Vacuolar Adenoma
C3329	C88025		Neoplasm Type	ADENOMA, ANTERIOR LOBE PITUITARY GLAND, BENIGN	Adenoma of Pituitary; Adenoma of Pituitary Gland; Adenoma of the Pituitary; Adenoma of the Pituitary Gland; Pituitary Adenoma	A benign neoplasm of the anterior lobe of the pituitary gland.	Pituitary Gland Adenoma
C2855	C88025		Neoplasm Type	ADENOMA, BENIGN		A benign neoplasm arising from epithelium.	Adenoma
C3494	C88025		Neoplasm Type	ADENOMA, BRONCHIAL, BENIGN		A benign neoplasia of the lung, arising from bronchial epithelium.	Lung Papillary Adenoma
C4140	C88025		Neoplasm Type	ADENOMA, BRONCHIOLOALVEOLAR, BENIGN	Adenoma of Alveoli; Adenoma of the Alveoli	A benign lung neoplasm arising from the alveolar/bronchiolar epithelium.	Alveolar Adenoma
C46101	C88025		Neoplasm Type	ADENOMA, C-CELL, BENIGN	Parafollicular Cell Adenoma	A benign neoplasm arising from C-cells of the thyroid gland.	Neoplastic C-Cell Hyperplasia
C6088	C88025		Neoplasm Type	ADENOMA, CERUMINOUS GLAND, BENIGN	Ceruminoma; Ceruminous Adenoma; Ceruminous Adenoma of External Auditory Canal; Ceruminous Adenoma of the External Auditory Canal	A benign epithelial neoplasm derived from ceruminous glands in the external auditory canal.	Ceruminous Adenoma
C4151	C88025		Neoplasm Type	ADENOMA, CLEAR CELL, BENIGN		A benign neoplasm comprising glands containing epithelial clear cells.	Clear Cell Adenoma
C156610	C88025		Neoplasm Type	ADENOMA, DUCTAL CELL, BENIGN		A benign adenoma characterized by a complex of ductular structures lined by a high cuboidal epithelium resembling that of normal ductules. (INHAND)	Experimental Organism Ductal Cell Adenoma
